danish,english,ukranian
"Ja, altså, nu ser jeg meget sådan noget Border Control, prøv at se alle de kinesere der rejser ind i Australien, de har krydset af “Nej, nej, vi har ikke noget frugt eller noget med i min taske"". Og så har de frugt i tasken, ikke (alle griner). Jamen jeg kan jo ikke stole på hvad de krydser af. Og s,  nu når vi har tomrokdofolyse, så kan jeg jo stille dem et spørgsmål, og så kan de sige “Næh, jeg kan ikke tåle kontrast”. Og så kan lægen sige “Jamen jeg har lige spurgt”. Nå, jamen hvad så?","Yeah, well, you know, now I see a lot of that Border Control stuff, look at all the Chinese people traveling to Australia, they've checked off ""No, no, we don't have any fruit or anything in our bag."" And then they have fruit in their bag, you know (everyone laughs). Well, I can't trust what they check off. And so, now when we have thrombolytic therapy, I can ask them a question, and they can say ""No, I can't tolerate contrast."" And then the doctor can say ""But I just asked."" Well, what then?","Так, я бачила багато подібного на контролі при перетині кордону, подивіться на всіх цих китайців, які подорожують в Австралію, вони позначають ""Ні, ні, у нас немає жодних фруктів чи чогось в сумці"". І вони мають фрукти в сумці, ви ж розумієте (усі сміються). Я не можу довіряти їх позначкам. Тому, коли ми робимо тромболітичну терапію, я можу задати їм питання, і вони можуть сказати ""Ні, я не переношу контраст"", Але лікар може сказати ""Але я ж щойно про це питав"". Ну, що тоді?"
"Ok ja, ja, så der oplever du også, at uanset hvilket sprog man snakker, så kan det også godt opstå?","Okay yeah, so you also experience that regardless of which language they speak, it can still arise?","Добре, так ви думаєте, що незалежно від мови, якою вони говорять, це все одно може статися?"
"Ja, hvis de ikke har forstået, hvad det går ud på, altså hvad de bliver spurgt om.","Yeah, if they haven't understood what it's about, I mean what they're being asked.","Так, якщо вони не зрозуміли, про що йдеться, я маю на увазі, про що їх запитали."
"Ja, hvad så med, nu var vi inde på visual cues i forhold til at man kan vise, altså det ved jeg ikke, små videoer, lige som “nu skal du lægge hånden her” og så videre.","Yeah, what about, now we touched on visual cues in terms of showing, you know, small videos, like ""now you need to place your hand here"" and so on.","Так, а як щодо візуальних підказок - знаєте, коротких відео по типу ""зараз вам потрібно поставити руку тут"" і так далі."
"Ja altså, det kunne da godt være. Altså, patienter, der aldrig nogensinde har prøvet en CT scanning, og så ligesom vise, at det faktisk ikke er super farligt det her. Det kunne måske godt skabe noget ro på en eller anden måde. Man gør det jo meget over for børn. Det kunne måske godt bruges ja.","Yeah well, that could be good. I mean, patients who have never tried a CT scan, and sort of showing that it's actually not super dangerous. That could maybe create some calm in some way. It's often done for children. That could maybe be useful, yeah.","Так, це може спрацювати. Показати пацієнти, які ніколи не пробували КТ, що це насправді цілком безпечно. Це може створити якусь спокійну атмосферу. Часто це робиться для дітей. Це може бути корисно, так."
"Så du tænker sådan, inden de står inde i scanneren?","So you're thinking like, before they enter the scanner?","Так, ви думаєте, краще перед входом до сканера?"
Mmh,Mmh,Ммм
"Tidligere interviewede vi en kollega, der sagde, at i MR kan det være meget voldsomt at komme ind og se sådan en stor ting. Ville det kunne hjælpe på situationen i nogle tilfælde at patienterne har set visuelt hvad der er, der skal foregå inden, altså uanset sprog og så videre?","Earlier, we interviewed a colleague who said that in MR, it can be quite overwhelming to come in and see such a big thing. Would it help in some cases for patients to have seen visually what's going to happen beforehand, regardless of language and so on?","Раніше ми інтерв'ювали колегу, який сказав, що може бути досить складно увійти в МР і побачити таку здоровенну штуку. Чи допоможе в деяких випадках пацієнтам заздалегідь побачити візуально, що відбудеться, незалежно від мови і так далі?"
"Ja, helt sikkert. Også hvis man kan på en eller anden måde forberede dem på, at de skal have kontrast. Altså nogle gange aner de jo ikke at jeg skal stikke dem i armen. Så bliver de forskrækket over det. Så det tror jeg da helt sikkert for at kunne tage lidt toppen af det der, også fordi vores maskine er jo også gigantisk, ikke. Ja.","Yes, definitely. Also, if somehow we can prepare them for needing contrast. Sometimes they have no idea that I'm going to prick their arm. So they get startled by it. So I definitely think it could help to take the edge off that, also because our machine is gigantic, you know. Yeah.","Так, безумовно. Також, якщо ми можемо якось підготувати їх до необхідності контрасту. Іноді вони поняття не мають, що я проштрихну їм руку. Тому вони лякаються цього. Тому я безумовно думаю, що це може допомогти зняти напругу, також тому, що наша машина величезна. Так."
Cool. Jeg har ikke flere spørgsmål.,Cool. I don't have any more questions.,
" Øhm, nu har vi talt om potentielle apparater og sådan, øhm, så altså, det der ville virke for dig er, at hvis der er nogen med medicinsk baggrund der har godkendt apparatet?","Uh, now we've talked about potential devices and such, uh, so, what would work for you is if someone with a medical background has approved the device, right?","Ну, ми вже поговорили про можливі пристрої і так далі, так що для вас спрацює, якщо хтось з медичною освітою затвердить пристрій для використання, правда?"
"Ja, det tænker jeg helt sikkert. Det ville give en eller anden troværdighed. Og så være sikker på, at de begreber og de udtryk, også er det, der bliver oversat til arabisk, og whatever. Ja. Øhm, ja, det ville da give noget helt bestemt.","Yeah, I definitely think so. That would provide some credibility. And also, to be sure that the concepts and expressions are translated accurately into Arabic, and whatever else. Yeah. Uh, yeah, that would definitely provide something specific.","Так, я безумовно так думаю. Це забезпечило б певну довіру. І також, впевненість, що поняття та вирази перекладені точно на арабську чи будь-яку іншу мову. Так. Так, це безумовно забезпечило б щось конкретне."
"Ja, nu, øhm. Ja, nu har jeg lige tabt den. Øhm (alle griner).","Yeah, now, uh. Yeah, now I just lost it. Uh (everyone laughs).","Так, тепер... Так, тепер я просто забув.  (усі сміються)."
Ta’ den fra starten.,Start over,Почніть знову.
"Nå, det har jeg sgu glemt. Nej, men, det var det der med, at hvis man har et apparat der er certificeret og gennemtestet, nu kan jeg huske det, altså hvis din profession var blevet inddraget, så ville du altså kunne stole på sådan et apparat?","Well, I forgot it. No, but, it was about if you have a device that is certified and thoroughly tested, now I remember it, so if your profession had been involved, then you would be able to trust such a device, right?","Ну, я забув. Ні, але, це було про те, якщо у вас є пристрій, який сертифіковано і повністю протестовано, зараз я пригадую, і він стосувався би вашої професії, тоді ви довірилися б такому пристрою, правда?"
"Ja, mh, ja, 100. Altså hvis der var en radiograf, de havde indtalt alt, så ja, 100 procent. De ved lige præcis hvad vi laver her. Helt sikkert.","Yeah, uh, yeah, 100 percent. I mean, if there was a radiographer involved in recording everything, then yes, 100 percent. They know exactly what we do here. Absolutely.","Так, на 100 відсотків. Я маю на увазі, якщо б в цьому був залучений рентгенолог для запису всього, то так, на 100 відсотків. Вони точно знають, що ми робимо тут. Зовсім точно."
Cool. Tusind tak.,Cool. Thank you very much.,Чудово. Дуже вдячний.
Selv tusind tak. Ja.,Thank you too. Yeah.,Дякую вам також. Так.
