danish,english,ukrainian
Indånding og holde din ånde i omkring 4-5 sekunder del af proceduren under scanningen.,Inhaling and holding your breath for about 4-5 seconds part of the procedure during the scan .,Вдих і затримка дихання на 4-5 секунд є частиною процедури під час сканування.
Du vil blive bedt om at inhalere og holde vejret i 4-5 sekunder; det er en fælles del af processen.,You will be asked inhale and hold your breath for 4-5 seconds ; it is a common part of the process .,Вас попросять вдихнути і затримати дихання на 4-5 секунд; це стандартна частина процесу.
Scanneren vil informere dig om at inhalere og holde vejret i 4-5 sekunder som en del af proceduren.,The scanner will inform you to inhale and hold your breath for 4-5 seconds as part of the procedure .,Під час процедури сканер попросить вас вдихнути і затримати дихання приблизно на 4-5 секунд.
Forbered dig på at holde vejret i 4-5 sekunder; Det vil være nødvendigt under scanningen.,Prepare to hold breath for 4-5 seconds ; it will be necessary during the scan .,"Приготуйтеся затримати дихання на 4-5 секунд, це буде необхідно під час сканування."
Du skal være i stand til at ligge ned hele scanningen.,You need to be able to lie down throughout entire scan .,Ви маєте бути в змозі лежати протягом усього сканування.
nødt til at ligge fladt på ryggen hele scanningen.,need to lie flat on your back throughout the entire scan .,Ви повинні лежати рівно на спині протягом усього сканування.
Du skal ligge på ryggen under hele scanningen.,You need to lie on your back throughout entire scan .,Ви повинні лежати на спині протягом усього сканування.
Du skal ligge fladt på ryggen under hele scanningen.,You need to lie flat your back throughout the entire scan .,Ви повинні лежати рівно на спині протягом усього сканування.
Du skal være i stand til at ligge stille og flade din ryg.,You need to be able to lie still and flat your back .,Ви маєте бути в змозі лежати спокійно і рівно на спині.
"Scanningen vil finde sted, mens du ligger på ryggen, og du skal forblive stille.","The scan will take place while you lying on your back , and you need to remain still .","Сканування відбуватиметься в положенні лежачи на спині, і вам потрібно залишатися нерухомими."
Har du brug for støtte under knæene under scanningen?,you need support under your knees during the scan ?,Чи потрібна вам підкладка під коліна під час сканування?
Har du brug for noget under dine ben under scanningen for at hjælpe din ryg?,Do need something under your legs during the scan to help your back ?,"Чи потрібно вам щось підкласти під ноги під час сканування, щоб підтримати спину?"
Vi hjælper med at støtte din lændehvirvel ved at placere noget under dine ben under scanningen.,We help support your lumbar spine by placing something under your legs during the scan .,"Ми можемо допомогти підтримати ваш поперек, підклавши щось під ноги під час сканування."
Du forventes at ligge ned under hele scanningen.,You are expected lie down throughout the entire scan .,Ви повинні лежати протягом усього сканування.
Du skal ligge fladt på ryggen til hele scanningen.,You need to lie flat on back for the entire scan .,Ви повинні лежати рівно на спині протягом усього сканування.
Du skal ligge på ryggen under hele scanningen.,You need lie on your back throughout the entire scan .,Ви повинні лежати на спині протягом усього сканування.
positionen skal være flad på ryggen gennem hele scanningen.,position should be flat on your back throughout the entire scan .,Ви повинні лежати рівно на спині протягом усього сканування.
"er påkrævet, at du ligger stille og fladt på ryggen.",is required that you lie still and flat on your back .,Вам необхідно лежати нерухомо і рівно на спині.
"Scanningen vil forekomme, mens du ligger på ryggen, og du skal forblive stille.","The scan will occur while you are lying on back , and you need to remain still .","Сканування буде відбуватися, поки ви лежите на спині, і вам потрібно залишатися нерухомими."
Har du brug for støtte under knæ under scanningen?,Do you need support under knees during the scan ?,Чи потрібна підкладка під коліна при скануванні?
Har du brug for noget under benene for at lette tilbage under scanningen?,Do you need something under legs to ease back during the scan ?,"Чи потрібно вам щось підкласти під ноги, щоб зменшити навантаження на спину під час сканування?"
Vi placerer støtte under dine ben til at hjælpe din lændehvirvel under scanningen.,We place support under your legs to help your lumbar spine during the scan .,Ми можемо підкласти вам під ноги опору щоб вашій поясниці було легше під час сканування.
Vi kan yde støtte under dine knæ for at gøre mere komfortabel.,We can provide support under your knees to make more comfortable .,"Ми можемо надати вам підкладку під коліна, щоб вам було зручніше."
er nødvendig for at ligge ned under hele scanningen.,is necessary to lie down throughout the entire scan .,Необхідно лежати протягом усього сканування.
Du skal ligge fladt på ryggen til hele scanningen.,You need lie flat on your back for the entire scan .,Ви повинні лежати рівно на спині протягом усього сканування.
nødt til at ligge på ryggen hele scanningen.,need to lie on your back throughout the entire scan .,Необхідно лежати на спині протягом усього сканування.
Du forventes at ligge fladt din ryg hele scanningen.,You are expected to lie flat your back throughout the entire scan .,Вам доведеться лежати рівно на спині протягом усього сканування.
"Scanningen vil finde sted, mens du ligger på ryggen, og du skal forblive stille.","The scan will take place while you lying on your back , and you need to remain still .","Сканування відбуватиметься в положенні лежачи на спині, і вам потрібно залишатися нерухомими."
Har du brug for støtte under dine knæ under scanningen?,Do you need support under your knees during scan ?,Чи потрібна вам підкладка під коліна впродовж сканування?
Har du brug for noget under dine ben til at hjælpe din ryg scanningen?,Do you need something under your legs to help your back the scan ?,Вам потрібно щось підкласти під ноги щоб підтримати спину під час сканування?
Vi kan yde støtte under dine ben under scanningen lindre din ryg.,We can provide support under your legs during the scan alleviate your back .,"Ми можемо надати підтримку під ноги на час сканування, щоб полегшити навантаження на спину."
Vi placerer noget under dine ben til at støtte din ryg under scanningen.,We place something under your legs to support your back during the scan .,Ми можемо підкласти вам щось під ноги щоб підтримувати спину під час сканування.
Har du brug for støtte under dine knæ under scanningen?,Do you need support under your knees during scan ?,Вам потрібна підтримка під коліна під час сканування?
har du brug for noget under dine ben under scanningen for at hjælpe din ryg?,you need something under your legs during the scan to assist your back ?,Вам потрібно щось підкласти під ноги під час сканування щоб підтримати спину?
Vi kan give støtte dine ben til at lindre din ryg.,We can provide support your legs to relieve your back .,Ми можемо надати вам підкладку під ноги щоб зменшити навантаження на спину.
Det er vigtigt at ligge hele scanningen.,It is important to lie throughout the entire scan .,Важливо залишатися в положенні лежачи протягом усього сканування.
Du skal ligge fladt på ryggen til hele scanningen.,You need to lie flat on your back for entire scan .,Ви повинні лежати рівно на спині протягом усього сканування.
Du burde ligge på ryggen under hele scanningen.,You should lie on back throughout the entire scan .,Ви повинні лежати на спині протягом усього сканування.
"Det forventes, at ligge fladt på ryggen hele scanningen.",It is expected that lie flat on your back throughout the entire scan .,"Очікується, що ви будете лежати на спині протягом усього сканування."
"Scanningen vil finde sted du ligger på din ryg, og det er vigtigt at forblive stille.","The scan will take place you are lying on your back , and it is important to remain still .","Сканування відбуватиметься в положенні лежачи на спині, тому важливо залишатися нерухомим."
Har du brug for støtte under dine knæ under scanningen?,Do you need support under your knees during scan ?,Вам потрібна підкладка під коліна під час сканування?
Vil du have noget under benene under scanningen for at hjælpe tilbage?,Would you like something under legs during the scan to help back ?,Чи бажаєте ви мати щось під ногами під час сканування щоб підтримати спину?
kan hjælpe din lændehvirvel ved at placere noget under dine ben under scanningen.,can help your lumbar spine by placing something under your legs during the scan .,Ми можемо допомогти вашому попереку підклавши вам щось під ноги під час сканування.
kan placere støtte under dine knæ under scanningen for at gøre det mere behageligt.,can place support under your knees during the scan to make it more comfortable .,Під час сканування ми можемо підкласти вам під коліна підкладку щоб вам було зручніше.
er nødvendig for at ligge ned under hele scanningen.,is necessary to lie down throughout the entire scan .,Необхідно лежати протягом усього сканування.
Du skal ligge fladt på ryggen til hele scanningen.,You need lie flat on your back for the entire scan .,Ви повинні лежати рівно на спині протягом усього сканування.
bør ligge på ryggen hele scanningen.,should lie on your back throughout the entire scan .,Ви повинні лежати на спині протягом усього сканування.
"Det forventes, at du ligger fladt ryggen gennem hele scanningen.",It is expected that you lie flat your back throughout the entire scan .,"Очікується, що ви будете лежати на спині протягом усього сканування."
"Under scanningen, bør du ligge stille og fladt på ryggen.","During the scan , you should lie still and flat on back .",Під час сканування ви повинні лежати спокійно і рівно на спині.
"Scanningen vil finde sted du ligger på din ryg, og du skal forblive stille.","The scan will take place you are lying on your back , and you need to remain still .","Сканування відбуватиметься в положенні лежачи на спині, і вам потрібно залишатися нерухомими."
Har du brug for støtte under dine knæ under scanningen?,Do you need support under your knees during scan ?,Чи потрібна вам підкладка під коліна під час сканування?
Vil du have noget under dine ben under scanningen hjælpe din ryg?,Would you like something under your legs during the scan help your back ?,Чи потрібно вам щось підкласти під ноги під час сканування щоб було зручніше для спини?
Vi placerer noget under dine ben under scanningen for at lindre din ryg.,We place something under your legs during the scan to alleviate your back .,Ми можемо підкласти вам щось під ноги під час сканування щоб полегшити навантаження на спину.
Vi giver støtte under dine knæ under scanningen for at gøre det mere behageligt.,We provide support under your knees during the scan to make it more comfortable .,"Ми можемо надати вам підкладку під коліна на час сканування, щоб вам було комфортніше."
Det er vigtigt at ligge ned hele scanningen.,It is important to lie down throughout entire scan .,Важливо лежати протягом усього сканування.
Du bliver liggende på ryggen under hele scanningen.,You remain lying on your back throughout the entire scan .,Ви повинні залишатися в положенні лежачи на спині протягом усього сканування.
"Det forventes, at du ligger på ryggen under hele scanningen.",Is expected that you lie on your back throughout the entire scan .,"Очікується, що ви будете лежати на спині протягом усього сканування."
"Det krævede, at du forbliver liggende fladt på ryggen.",It required that you remain lying flat on your back .,Необхідно щоб ви залишалися лежати рівно на спині.
Vær venlig stadig at ligge fladt på ryggen.,Please remain still lie flat on your back .,"Будь ласка, залишайтеся нерухомими і лежіть рівно на спині."
"Scanningen vil blive udført, mens du ligger på ryggen, og du bør forblive stille.","The scan will be performed while you lying on your back , and you should remain still .","Сканування буде проводитися в положенні лежачи на спині, і ви повинні залишатися нерухомими."
Er der behov for støtte under dine knæ under scanningen?,Is there a need for support under your knees during scan ?,Чи потрібна вам підкладка під коліна під час сканування?
Vil du have noget under benene til at støtte tilbage under scanningen?,Do you want something under legs to support back during the scan ?,"Чи бажаєте ви підкласти щось під ноги, щоб підтримати спину під час сканування?"
Vi placerer støtte under dine ben til at lindre din ryg under scanningen.,We place support under your legs to relieve your back during the scan .,Ми можемо підкласти вам під ноги підкладку щоб зменшити навантаження на спину під час сканування.
Det er vigtigt at ligge fladt hele scanningen.,It is important to lie flat throughout entire scan .,Важливо лежати рівно протягом усього сканування.
"Det forventes, at du ligger på ryggen hele scanningen.",It is expected that you lie on your back throughout entire scan .,"Очікується, що ви будете лежати на спині протягом усього сканування."
Du burde ligge fladt på ryggen til hele scanningen.,You should lie flat on back for the entire scan .,Ви повинні лежати рівно на спині протягом усього сканування.
"Det er nødvendigt, at du forbliver liggende på ryggen hele scanningen.",It is required you remain lying on your back throughout the entire scan .,"Необхідно, щоб ви залишалися лежати на спині протягом усього сканування."
Vær venlig at ligge stille og fladt på bagsiden under scanningen.,Please lie still and flat on back during the scan .,"Будь ласка, під час сканування лежіть спокійно і рівно на спині."
"scanning vil blive udført, mens du ligger på ryggen, og du skal forblive stille.","scan will be performed while you are lying on your back , and you should remain still .","Сканування буде виконуватися в положенні лежачи на спині, і ви повинні залишатися нерухомими."
Har du brug for støtte under dine knæ under scanningen?,Do you need support under your knees during scan ?,Чи потрібна вам підкладка під коліна під час сканування?
Vil du have noget under benene for at lette ryggen under scanningen?,Would like something under your legs to ease your back during the scan ?,Чи бажаєте мати щось під ногами щоб зменшити навантаження на спину під час сканування?
Vi kan yde støtte under dine ben til at lindre din ryg under scanningen.,We can provide support under your legs to relieve your back during scan .,Ми можемо надати вам підкладку під ноги щоб зменшити навантаження на спину під час сканування.
Det er vigtigt at ligge ned under hele scanningen.,It is important lie down throughout the entire scan .,Важливо лежати протягом усього сканування.
"det forventede, at du ligger på ryggen hele scanningen.",it expected that you lie on your back throughout the entire scan .,"Очікується, що ви будете лежати на спині протягом всього сканування."
Du burde ligge på ryggen under hele scanningen.,You should lie your back throughout the entire scan .,Ви повинні лежати на спині протягом усього сканування.
"er påkrævet, at du forbliver liggende fladt på ryggen.",is required that you remain lying flat on your back .,"Необхідно, щоб ви залишалися лежати рівно на спині."
Læg dig venligst stille og fladt på ryggen under scanningen.,Please lie still and flat on your back during scan .,"Будь ласка, під час сканування лежіть спокійно і рівно на спині."
"Scanningen vil blive udført, mens du ligger på ryggen, og du bør forblive stille.","The scan will be performed while you are lying on back , and you should remain still .","Сканування буде виконуватися в положенні лежачи на спині, і ви повинні залишатися нерухомими."
Har du brug for støtte under knæ under scanningen?,Do you need support under knees during the scan ?,Чи потрібна вам підкладка під коліна під час сканування?
Vil du have noget under dine ben til at støtte din ryg under scanningen?,Would like something under your legs to support your back during the scan ?,Чи бажаєте ви підкласти щось під ноги щоб підтримати спину під час сканування?
Vi kan lægge støtte under benene for at lindre tilbage under scanningen.,We can place support under legs to relieve back during the scan .,Ми можемо покласти підкладку вам під ноги щоб зменшити навантаження на спину під час сканування.
Har du brug for støtte under dine knæ under scanningen?,Do you need support under your knees during scan ?,Чи потрібна вам підкладка під коліна під час сканування?
Vil du have noget under dine ben lette ryggen under scanningen?,Would you like something under your legs ease your back during the scan ?,Чи хотіли б ви підкласти щось під ноги щоб зменшити навантаження на спину під час сканування?
Vi kan yde støtte under knæene for at gøre det mere behageligt.,We can provide support under knees to make it more comfortable .,Ми можемо дати вам підкладку під коліна щоб вам було зручніше.
Kan du ligge stille under scanningen?,Can you lie still during scan ?,Чи можете ви лежати нерухомо під час сканування?
"Det er vigtigt, at du forbliver helt stille under scanningen.",It is important you remain completely still during the scan .,"Важливо, щоб ви залишалися абсолютно нерухомими під час сканування."
"Venligst afstå fra at flytte, så snart vi begynder at scanne.",Please refrain from moving as soon as we begin scan .,"Будь ласка, не рухайтеся, як тільки ми почнемо сканування."
Har du svært ved at ligge stille?,you experiencing difficulty lying still ?,Чи важко вам лежати нерухомо?
"Har du problemer med at ligge på ryggen, mens vi scanner dig?",you have trouble lying on your back while we scan you ?,Чи важко вам лежати на спині під час сканування?
Kan forblive stille under scanningen?,Can remain still during the scan ?,Чи можете ви залишатися нерухомим під час сканування?
"Det er afgørende, at forblive helt stille under scanningen.",It is crucial that remain completely still during the scan .,"Дуже важливо, щоб ви залишалися абсолютно нерухомими під час сканування."
Venligst afholde sig fra at flytte scanningen begynder.,Please refrain from moving the scan begins .,"Будь ласка, не рухайтеся після початку сканування."
oplever du udfordringer med at ligge stille?,you experiencing challenges with lying still ?,Чи важко вам лежати нерухомо?
Har du stadig problemer under scanningen?,you have difficulties remaining still during the scan ?,Чи важко вам залишатися нерухомими під час сканування?
Er det muligt for dig forblive stille under scanningen?,Is it possible for you remain still during the scan ?,Чи можете ви залишатися нерухомими під час сканування?
Det er vigtigt at undgå at flytte scanningen.,It 's important to avoid moving the scan .,Під час сканування важливо уникати рухів.
"Afstå fra at ændre position, når scanningen er i gang.",Please refrain from changing position once the scan underway .,"Будь ласка, не змінюйте положення під час сканування."
Har nogen problemer med at forblive stille under scanningen?,Do have any problems staying still during the scan ?,Чи важко вам залишатися нерухомим під час сканування?
"Kan du undgå at bevæge dig, mens du scanner dig?",Can you avoid moving while scan you ?,Чи можете ви не рухатися під час сканування?
Kan du være stille under hele scanningen?,Is it possible you to stay still throughout the entire scan ?,Чи можете ви залишатися нерухомими протягом усього сканування?
"Det er afgørende, at forblive helt stille under scanningen.",It 's crucial that remain completely still during the scan .,Дуже важливо щоб ви залишалися абсолютно нерухомими під час сканування.
Venligst afstå fra at skifte snart scanningen begynder.,Please refrain from shifting soon the scan begins .,"Будь ласка, не рухайтеся, як тільки почнеться сканування."
Har du problemer med at blive siddende under scanningen?,you experiencing difficulties staying still during the scan ?,"Чи виникають у вас труднощі з тим, щоб залишатися нерухомим під час сканування?"
Er det udfordrende at ligge stille under hele scanningen?,Is it challenging for to lie still throughout the entire scan ?,Чи складно вам лежати нерухомо протягом усього сканування?
Kan undgå at skifte under scanningen?,Can avoid shifting during the scan ?,Чи можете ви не рухатися під час сканування?
"Det er vigtigt, at du bevæger dig under scanningen.",It 's essential that you do move during the scan .,"Дуже важливо, щоб ви не рухалися під час сканування."
Har du problemer med at forblive stadig under scanningen?,Do you have trouble remaining still during scan ?,Чи важко вам залишатися нерухомим під час сканування?
"Er det svært for dig at ligge stille, mens vi scanner?",it difficult for you to lie still while we scan ?,Чи важко вам лежати нерухомо під час сканування?
"Kan du undgå at bevæge dig, mens du udfører scanningen?",Can you avoid moving while conduct the scan ?,Чи можете ви не рухатися поки ми проводимо сканування?
Kan du forblive rolig hele scanningen?,Can you remain calm throughout entire scan ?,Чи можете ви залишатися спокійними протягом всього сканування?
"Det er afgørende, at du ligger stille under hele scanningen.",'s crucial that you lie still throughout the entire scan .,Дуже важливо щоб ви лежали нерухомо протягом усього сканування.
"Undgå at bevæge dig, mens du scanner dig.",Please avoid moving while scan you .,"Будь ласка, не рухайтеся під час сканування."
Du står over for nogen udfordringer i at forblive stille?,you facing any challenges in staying still ?,Чи важко вам залишатися нерухомим?
"Synes du, det er svært at blive ved med at scanne?",Do you find it hard to stay still the scan ?,Чи важко вам залишатися нерухомим під час сканування?
Er det muligt for Dem at bevare roen under hele proceduren?,Is possible for you to remain calm throughout the entire procedure ?,Чи можете ви залишатися спокійними протягом всієї процедури?
Det er vigtigt at undgå bevægelse under hele scanningen.,It 's important to avoid movement during entire scan .,Важливо уникати рухів під час всього сканування.
Hold venligst scanningen i ro.,Please keep still the scan begins .,"Будь ласка, залишайтеся нерухомими коли почнеться сканування."
Har du problemer med at blive siddende under scanningen?,Are you any trouble staying still during the scan ?,Чи важко вам залишатися нерухомим під час сканування?
"Kan du undgå at bevæge dig, mens du udfører scanningen?",Can you avoid moving while perform the scan ?,Чи можете ви не рухатися під час сканування?
Er det muligt for dig at forblive stille under hele scanningen?,it possible for you to remain still throughout the entire scan ?,Чи можете ви залишатися нерухомим протягом усього сканування?
"Det er vigtigt, at du forbliver helt rolig under scanningen.",It 's essential that you remain completely calm during scan .,"Дуже важливо, щоб ви залишалися абсолютно спокійними під час сканування."
"Undgå at ændre position, mens scanningen er i gang.",Please avoid changing position while scan is underway .,"Будь ласка, не змінюйте положення під час сканування."
Har De problemer med at blive siddende under proceduren?,Are you experiencing difficulties in staying still during procedure ?,"Чи відчуваєте ви труднощі з тим, щоб залишатися нерухомими під час процедури?"
Er det udfordrende for dig forblive rolig hele scanningen?,Is it challenging for you remain calm throughout the entire scan ?,Чи складно вам зберігати спокій протягом усього сканування?
"Du undgår at bevæge dig, mens vi udfører scanningen?",you avoid moving while we conduct the scan ?,Чи можете ви не рухатися під час сканування?
"Det er vigtigt, at ikke skifte under scanningen.",It 's important that do not shift during the scan .,"Важливо, щоб ви не рухалися під час сканування."
Har du problemer med at bevare roen under scanningen?,Do you trouble staying calm during the scan ?,Чи важко вам зберігати спокій під час сканування?
Er det svært for dig at blive ved med at scanne?,Is it difficult for you to stay still we scan ?,Чи важко вам залишатися нерухомим під час сканування?
"Afstår du fra at bevæge dig, mens vi udfører scanningen?",you refrain from moving while we perform the scan ?,Чи можете ви не рухатися під час сканування?
Det er vigtigt at være rolig hele scanningen.,It 's important to be calm still throughout the entire scan .,Важливо залишатися спокійним і нерухомим протягом усього сканування.
"Vær stille, så vi kan fuldføre scanningen.",Please remain still so we can complete scan .,"Будь ласка, не рухайтеся, щоб ми могли завершити сканування."
Har du støder på nogen udfordringer i at forblive stadig scanningen?,Do you encounter any challenges in staying still the scan ?,"Чи виникають у вас труднощі з тим, щоб залишатися нерухомим під час сканування?"
"Kan vi undgå at bevæge os, mens vi udfører scanningen?",Can avoid moving while we conduct the scan ?,Чи можете ви не рухатися під час сканування?
"Det er afgørende, at du forbliver rolig hele proceduren.",It 's crucial that you remain calm throughout entire procedure .,"Дуже важливо, щоб ви залишалися спокійними протягом всієї процедури."
Afstå fra at ændre position under scanningen.,Please refrain from changing position during scan .,"Будь ласка, не змінюйте положення під час сканування."
Har du problemer med at forblive stille under scanningen?,Do you have difficulties in staying still during scan ?,Чи важко вам залишатися нерухомим під час сканування?
Er det udfordrende at bevare roen under hele proceduren?,Is it challenging for to remain calm throughout the entire procedure ?,Чи складно вам зберігати спокій протягом всієї процедури?
"Kan vi undgå at bevæge os, mens vi udfører scanningen?",Can avoid moving while we perform the scan ?,Чи можете ви не рухатися під час сканування?
Det er vigtigt at rolig og rolig hele scanningen.,It 's important to quiet and calm throughout the entire scan .,Важливо зберігати тишу і спокій протягом усього сканування.
"Kan du få armene over hovedet, mens du ligger ned?",Can get your arms over your head while lying down ?,Чи можете ви завести руки за голову в положенні лежачи?
"Vi skal bruge dine arme, mens vi scanner dig.",We need your arms your head while we scan you .,"Нам потрібно, щоб ваші руки були підняті над головою під час сканування."
"Dine arme skal være over dit hoved, mens vi scanner.",Your arms should be above your head while we scan .,Під час сканування ваші руки повинні бути за головою.
"Under scanningen, dine arme være over dit hoved.","During the scan , your arms be above your head .",Під час сканування ваші руки повинні бути підняті над головою.
Kan du lægge armene over hovedet?,Can you place your arms over your head lying down ?,Чи можете ви покласти руки над головою в положенні лежачи?
"Vi vil gerne have dine arme over dit hoved, mens vi scanner dig.",We would like your arms to above your head while we scan you .,Під час сканування нам необхідно щоб ваші руки були розташовані над головою.
Det er nødvendigt for dine arme til at være over dit hoved under scanningen.,It 's necessary for your arms to be above your head during scan .,Під час сканування необхідно щоб ваші руки були розташовані над головою.
Dine arme skal være over dit hoved scanningen.,Your arms should be above your head the scan .,Ваші руки повинні бути підняті над головою під час сканування.
"Er det muligt for dig til armene over hovedet, mens du ligger ned?",Is it possible for you to your arms above your head while lying down ?,Чи можете ви тримати руки над головою в положенні лежачи?
"Vi beder om at placere dine arme over dit hoved, mens vi scanner.",We ask to place your arms above your head while we scan .,Ми просимо вас підняти руки над головою під час сканування.
"Under scanningen, bør du have dine arme dit hoved.","During the scan , you should have your arms your head .",Під час сканування ви повинні тримати руки над головою.
"Vil du være venlig at holde armene over hovedet, mens vi scanner dig?",Could you please your arms above your head while we scan you ?,"Чи можете ви тримати руки над головою під час сканування, будь ласка?"
"Det er vigtigt, at armene er over hovedet hele scanningen.",It 's important that the arms are above head throughout the entire scan .,Важливо щоб ваші руки були підняті над головою протягом усього сканування.
"Vi beder dig om at lægge dine arme over dit hoved, mens du lyver.",We ask you to place your arms above your head while lying .,Ми просимо вас підняти руки над головою в положенні лежачи.
Er det muligt for dig har dine arme over hovedet under scanningen?,Is it possible for you have your arms above your head during the scan ?,Чи можете ви тримати руки над головою під час сканування?
Gennem hele scanningen skal armene være over hovedet.,"Throughout the entire scan , arms should be above head .",Протягом всього сканування ваші руки повинні бути підняті над головою.
"Vi anmoder om, at du får dine arme over hovedet, mens vi scanner.",We request that you your arms above your head while we scan .,Ми просимо вас тримати руки над головою під час сканування.
"Kan du have arme over hovedet, mens vi laver scanningen?",Could you have arms above head while we conduct the scan ?,Чи можете ви тримати руки над головою під час сканування?
Det er nødvendigt at have armene over hovedet under scanningen.,It 's necessary to have your arms above your head during scan .,Під час сканування необхідно тримати руки над головою.
"Vi skal have dine arme placeret over dit hoved, mens vi scanner dig.",We need your arms positioned above your head while scan you .,Під час сканування ваші руки повинні бути розташовані над головою.
"Gennem hele scanningen, bedes du have arme over hovedet.","Throughout the entire scan , please have arms above head .","Протягом всього сканування, будь ласка, тримайте руки над головою."
Er det muligt for dig at placere dine arme over hovedet under scanningen?,Is possible for you to place your arms above your head during the scan ?,Чи можете ви тримати руки над головою під час сканування?
"Du skal have armene over hovedet, mens vi scanner dig.",need to have your arms above your head while we scan you .,Ви повинні тримати руки над головою під час сканування.
Kan du sidde stille og sidde op?,Can you sit still sitting up ?,Чи можете ви сидіти спокійно в положенні сидячи?
"Vi er nødt til at placere dig, så du kan forblive stadig under hele eksamen.",We need to position you so you can remain still throughout entire examination .,"Ми повинні розташувати вас так, щоб ви могли залишатися нерухомим протягом усього обстеження."
"Vi er nødt til at finde en behagelig position, så du kan ligge stille.",We need to find comfortable position for you to lie still .,"Нам потрібно знайти для вас зручне положення, щоб ви могли спокійно лежати."
Vi er nødt til at finde komfortabel position for dig at ligge stadig under hele undersøgelsen.,We need to find comfortable position for you to lie still throughout the entire examination .,"Нам потрібно знайти для вас зручне положення, в якому ви зможете спокійно лежати протягом усього обстеження."
"Kan du ligge på højre side, mens vi foretager undersøgelsen?",Can you lie on right side while we conduct the examination ?,"Чи можете ви лежати на правому боці, поки ми проводимо обстеження?"
Kan du lyve din venstre side?,Can you lie your left side ?,Чи можете ви лежати на лівому боці?
"Er det muligt at forblive stille, mens man sidder op?",Is it possible for to remain still while sitting up ?,Чи можете ви залишатися нерухомим у положенні сидячи?
"Vi er nødt til at arrangere position, så du kan forblive stadig under undersøgelsen.",We need to arrange position so you can remain still during the examination .,"Нам потрібно влаштувати вас так, щоб ви могли залишатися нерухомим під час обстеження."
"Vi er nødt til at justere din position, du kan forblive stille.",We need to adjust your position you can remain still .,"Нам потрібно підібрати таке положення, щоб ви могли залишатися нерухомими."
"Kan du sidde stille, mens du sidder op?",you be able to remain still while sitting up ?,Чи зможете ви залишатися нерухомим сидячи?
"Vi er nødt til at sikre, at du er komfortabel, så du ligger stille.",We need to ensure that you are comfortable so you lie still .,"Ми повинні переконатися, що вам зручно і ви можете спокійно лежати."
"nødt til at finde den rigtige position, så du kan ligge stadig under hele undersøgelsen.",need to find the right position so you can lie still throughout the entire examination .,"Ми повинні знайти правильне положення, щоб ви могли спокійно лежати протягом усього обстеження."
"Kan du sidde stille, mens du sidder op?",Can remain still while sitting up ?,Чи можете ви залишатися нерухомим сидячи?
Vi vil placere dig kan du forblive stille under undersøgelsen.,We will position you you can remain still during the examination .,"Ми розташуємо вас так, щоб ви могли залишатися нерухомим під час обстеження."
Kan du sidde stille mens du sidder?,Can you keep still while sitting ?,Чи можете ви залишатися нерухомим сидячи?
"Vi vil sikre, at du er i komfortabel position, så du kan ligge stille.",We will ensure that you are in comfortable position so you can lie still .,"Ми забезпечимо вам зручне положення, щоб ви могли спокійно лежати."
"Vi vil sørge for, at det forbliver under hele undersøgelsen.",We will ensure that remain still throughout the examination .,"Ми подбаємо про те, щоб ви залишалися нерухомими протягом усього обстеження."
"Vil være i stand til at forblive stille, mens du sidder op?",Will be able to stay still while sitting up ?,Чи зможете ви залишатися нерухомим сидячи?
"Vi justerer din position, så du kan forblive stille.",We adjust your position so you can remain still .,"Ми підберемо для вас зручне положення, щоб ви могли залишатися нерухомим."
"Kan du være stille, mens du sidder op?",Can be quiet while sitting up ?,Чи можете ви зберігати тишу сидячи?
"Vi vil hjælpe dig med at finde den rigtige position, så du kan ligge stille under eksamen.",We will help you find right position so you can lie still during examination .,"Ми допоможемо вам знайти правильне положення, щоб ви могли спокійно лежати під час обстеження."
"Kan man forblive stille, mens man sidder op?",Will be able to remain still while sitting up ?,Чи зможете ви сидіти нерухомо?
"Vi vil sikre, at du er i en komfortabel position, du kan ligge stille.",We will ensure that you are in a comfortable position you can lie still .,"Ми подбаємо про те, щоб ви зайняли зручне положення та могли лежати спокійно."
"Du være rolig, mens du sidder op?",you be calm while sitting up ?,Чи можете ви зберігати спокій у положенні сидячи?
"Vi vil sikre, at du i en passende position, så du kan forblive stadig under hele undersøgelsen.",We will ensure that you in an appropriate position so you can remain still throughout the entire examination .,Ми переконаємося що ви перебуваєте у належному положенні і можете залишатися нерухомими протягом усього обстеження.
